model_id,difficulty,n,accuracy,mean_confidence,overconfidence_gap,ece
claude_haiku,easy,99,0.9393939393939394,0.9121212121212121,-0.027272727272727337,0.051919191919191865
claude_haiku,medium,98,0.9285714285714286,0.8756122448979592,-0.05295918367346941,0.08683673469387737
claude_haiku,hard,70,0.8857142857142857,0.9222857142857143,0.03657142857142859,0.07228571428571422
llama3.1,easy,120,0.7583333333333333,0.8754166666666666,0.11708333333333332,0.11708333333333343
llama3.1,medium,120,0.6416666666666667,0.8575,0.21583333333333332,0.21583333333333315
llama3.1,hard,120,0.5083333333333333,0.8683333333333334,0.3600000000000001,0.36
mistral,easy,120,0.5833333333333334,0.9779166666666667,0.3945833333333333,0.3945833333333332
mistral,medium,120,0.625,0.97,0.345,0.35999999999999993
mistral,hard,119,0.40336134453781514,0.988235294117647,0.5848739495798319,0.5848739495798319
