bin_lo,bin_hi,bin_center,accuracy,confidence,count
0.0,0.1,0.05,0.0,0.05,5
0.1,0.2,0.15000000000000002,0.45454545454545453,0.14999999999999997,11
0.2,0.30000000000000004,0.25,0.3333333333333333,0.25,15
0.30000000000000004,0.4,0.35000000000000003,0.5,0.34999999999999987,22
0.4,0.5,0.45,0.5813953488372093,0.4472093023255815,43
0.5,0.6000000000000001,0.55,0.5,0.575,4
0.6000000000000001,0.7000000000000001,0.6500000000000001,0.5,0.6435714285714287,14
0.7000000000000001,0.8,0.75,0.7023255813953488,0.7462325581395348,430
0.8,0.9,0.8500000000000001,0.9300291545189504,0.8431778425655975,343
0.9,1.0,0.95,0.9597352454495311,0.9467015995587423,1813
